name,county,ward_code,ward_name,political_party,gender
DAVID MOIBEN LONGARINYANG,WEST POKOT,650,WEIWEI,JUBILEE PARTY,Male
DAVID MOSES,MAKUENI,413,KITHUNGO KITUNDU,CHAMA CHA UZALENDO,Male
DAVID MOSES MULANDI,MACHAKOS,396,MUTHWANI,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
DAVID MUTISYA MUSYOKA,NAKURU,858,WASEGES,INDEPENDENT,Male
DAVID NABWEL EKANGAKI,TURKANA,615,KIBISH,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
DAVID OUNA AYAH,BUNGOMA,1113,MAENI,INDEPENDENT,Male
DAVID REHEMA TAAB,TANA RIVER,88,KIPINI WEST,ORANGE DEMOCRATIC MOVEMENT,Female
DAVID SIMON MRAMBA,KILIFI,53,KIBARANI,INDEPENDENT,Male
DAWATA OSMAN ADEN,TANA RIVER,99,SALA,MAENDELEO DEMOCRATIC PARTY,Male
DAWE JOHN KILLO,MARSABIT,223,HEILLU MANYATTA,JUBILEE PARTY,Male
DEDE JOSEPH ORAYO,KISUMU,1193,KISUMU NORTH,MAENDELEO CHAP CHAP PARTY,Male
DEDE OMARY CHONDO DIO,KWALE,37,MWERENI,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
DEDEI JACKSON IMBAI,VIHIGA,1062,GISAMBAI,INDEPENDENT,Male
Dele Edward Kazungu,KILIFI,85,SABAKI,ORANGE DEMOCRATIC MOVEMENT,Male
DENA JAMES MWAMONGO,KWALE,50,KASEMENI,ORANGE DEMOCRATIC MOVEMENT,Male
DENNIS KIPLANGAT,KERICHO,937,KEDOWA KIMUGUL,INDEPENDENT,Male
DEREBIA WILSON NYAGAH,THARAKA - NITHI,297,MUTHAMBI,NATIONAL RAINBOW COALITION- KENYA,Male
DEROW YUSSUF ELMI,WAJIR,177,HADADO ATHIBOHOL,DEMOCRATIC PARTY OF KENYA,Male
DEYA JARED OOKO,HOMA BAY,1235,WANGCHIENG,INDEPENDENT,Male
DEYA JOSAPHAT OREMBE,MIGORI,1286,KALER,INDEPENDENT,Male
DHAHIR MOHAMED,TURKANA,614,KAALENG KAIKOR,ORANGE DEMOCRATIC MOVEMENT,Male
DIBO DANIEL DAMOCHA,MARSABIT,229,MAIKONA,JUBILEE PARTY,Male
DICK KISIVULI ATSIAYA,VIHIGA,1053,CENTRAL MARAGOLI,PROGRESSIVE PARTY OF KENYA,Male
DICKSON MUTAI KOSKEI,NAKURU,873,KAPKURES,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
DICKSON OMBAYO BITUNGU,KAKAMEGA,1000,NZOIA,ORANGE DEMOCRATIC MOVEMENT,Male
DIDA EMANNUEL NDORO,MOMBASA,12,MWAKIRUNGE,MAENDELEO CHAP CHAP PARTY,Male
DIDA IBRAHIM MOHAMED,MARSABIT,224,GOLBO,THE LABOUR PARTY OF KENYA,Male
DIDA QALICHA HUQA,MARSABIT,226,URAN,PARTY FOR DEVELOPMENT AND REFORM,Male
DIDO HASSAN MAHAT,MANDERA,210,SHIMBIR FATUMA,ECONOMIC FREEDOM PARTY,Male
DIFOR ADRIANO MAGANI,KAKAMEGA,1041,ISUKHA NORTH,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
DIGE ADAN MURSAL,TANA RIVER,98,BANGALE,ORANGE DEMOCRATIC MOVEMENT,Male
DILLONS JOHNSTONE NDEGWAH,KIAMBU,568,NGOLIBA,INDEPENDENT,Male
DIMA HUSSEIN MOHAMED,ISIOLO,246,BURAT,PARTY FOR DEVELOPMENT AND REFORM,Male
DIMBUSON NICHOLAS CHAVASU,NAIROBI CITY,1389,WOODLEY KENYATTA GOLF COURSE,UNITED DEMOCRATIC PARTY,Male
DIN AZHAR ZAHID,TAITA TAVETA,127,KALOLENI,JUBILEE PARTY,Male
DINDA GRACE,HOMA BAY,1234,KIBIRI,JUBILEE PARTY,Female
DINDI DAVID ONGANGI,BUSIA,1136,BUKHAYO CENTRAL,THE LABOUR PARTY OF KENYA,Male
DINEY FATUMA S,TANA RIVER,100,MADOGO,NATIONAL RAINBOW COALITION,Female
DIONISIO JIM MUCHUI,MERU,266,ATHWANA,MAENDELEO CHAP CHAP PARTY,Male
DIRIE ISSA MOHAMED,GARISSA,150,LIBOI,JUBILEE PARTY,Male
DIRIYE HIRE ABDIRAHMAN,GARISSA,148,LABASIGALE,AMANI NATIONAL CONGRESS,Male
DISII MAITHA EMMANUEL,KILIFI,74,SOKOKE,INDEPENDENT,Male
DISMAS KITUYI WANYAMA,BUNGOMA,1115,MBAKALO,PEOPLES EMPOWERMENT PARTY,Male
DODOY JAMES EDWARD BILAHI,MOMBASA,11,BAMBURI,INDEPENDENT,Male
DOLAL ALI OSMAN,NAIROBI CITY,1419,KOMAROCK,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
DOLO RUTH AKINYI,NAIROBI CITY,1383,MUGUMU-INI,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
DOMINIC FRANCIS NGAO,MACHAKOS,381,KANGUNDO NORTH,CHAMA CHA MASHINANI,Male
DONDA KAHINDI KAZUNGU,KILIFI,65,KALOLENI,MOVEMENT FOR DEMOCRACY AND GROWTH,Male
DORE ABDULLAHI KAHIYE,WAJIR,183,ELNUR TULA TULA,JUBILEE PARTY,Male
DOTI JOSEPHAT KIKOMA,MAKUENI,431,MAKINDU,INDEPENDENT,Male
DOUGLAS CHARLES NJAGI,NAIROBI CITY,1400,RUAI,DEMOCRATIC PARTY OF KENYA,Male
DOUGLAS NANCY MWARI,MERU,280,NYAKI EAST,NATIONAL RAINBOW COALITION- KENYA,Female
DUALE AMIR SHAFAT,GARISSA,157,HULUGHO,THE LABOUR PARTY OF KENYA,Male
DUBA ALI DIMA,ISIOLO,243,CHARI,ORANGE DEMOCRATIC MOVEMENT,Male
DUBOW ABDIRIZACK SIYAT,GARISSA,133,TOWNSHIP,INDEPENDENT,Male
DUBOW MOHAMED ADEN,GARISSA,153,DEKAHARIA,JUBILEE PARTY,Male
Dugow Ahmed Ismail,WAJIR,171,KHOROF HARAR,NATIONAL RAINBOW COALITION- KENYA,Male
DUKE MAOSA OMOTI,NYAMIRA,1363,KIABONYORU,ORANGE DEMOCRATIC MOVEMENT,Male
DULLOW ABDALLA GEDO,TANA RIVER,99,SALA,MAENDELEO CHAP CHAP PARTY,Male
DUME NELSON TUNJE,KILIFI,59,MWARAKAYA,DEVOLUTION PARTY OF KENYA,Male
DUME VICTORIA FRANKLIN,KILIFI,65,KALOLENI,INDEPENDENT,Female
DUNDEE BETHY ABER,SIAYA,1175,WEST YIMBO,AMANI NATIONAL CONGRESS,Female
DUROW ADAN HUSSEIN,GARISSA,137,JARA JARA,MAENDELEO CHAP CHAP PARTY,Male
DZIMBA JOHN TUVA,MOMBASA,20,KADZANDANI,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
DZOMBO CONSTANTINE CHIBANZA,KILIFI,60,SHIMO LA TEWA,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
DZOMBO GEORGE NGAMBA,KILIFI,77,GANDA,FEDERAL PARTY OF KENYA,Male
DZUGWEH MOHAMED HATIBU,KWALE,34,RAMISI,INDEPENDENT,Male
EBEI ABDIFATAH KAPUA,TURKANA,614,KAALENG KAIKOR,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
EBEI LOYANAE JOHN,TURKANA,634,KATILU,KENYA AFRICAN NATIONAL UNION,Male
EBEI SHADRACK LOKWATUK,TURKANA,612,LAKE ZONE,THIRDWAY ALLIANCE KENYA,Male
EBENYO WILLIAM NAUR,TURKANA,629,KOTARUK LOBEI,INDEPENDENT,Male
EBONGON EDWARD NAKALALE,TURKANA,622,LOKICHOGGIO,INDEPENDENT,Male
EBRAHIM BITA MUTIO,MAKUENI,434,KIKUMBULYU SOUTH,NATIONAL RAINBOW COALITION,Male
EBUTIENDEKE ELIJAH ASIKOYA,NAIROBI CITY,1367,PARKLANDS HIGHRIDGE,INDEPENDENT,Male
EBWAPIT FREDRICK EBITA,BUSIA,1128,CHAKOL SOUTH,JUBILEE PARTY,Male
ECHAKARA KIZITO BILLY,BUSIA,1124,ANG'URAI NORTH,JUBILEE PARTY,Male
ECHAPAN ISAAC EKUWAM,TURKANA,630,TURKWEL,MAENDELEO CHAP CHAP PARTY,Male
ECHOPATA MOSES EMOJONG,BUSIA,1131,AMUKURA EAST,RESTORE AND BUILD KENYA,Male
ECHUA NICODEMUS EGUMAN,TURKANA,635,LOBOKAT,JUBILEE PARTY,Male
ECHWA MOSES,SAMBURU,666,EL-BARTA,PARTY OF NATIONAL UNITY,Male
EDAMBO ERIC INYIMILI,VIHIGA,1063,SHAMAKHOKHO,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EDGAR SHIVAIRO LWANE,VIHIGA,1063,SHAMAKHOKHO,ORANGE DEMOCRATIC MOVEMENT,Male
EDIN ABDIRIZAK GURACHA,MANDERA,210,SHIMBIR FATUMA,MAENDELEO CHAP CHAP PARTY,Male
EDOME FRANCIS EKIRU,TURKANA,638,KAPEDO NAPEITOM,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
EDONGO LOOCHA SHADRACK,TURKANA,633,KAPUTIR,ORANGE DEMOCRATIC MOVEMENT,Male
EDUNG ERUPE JOSEPH,SAMBURU,667,NACHOLA,KENYA AFRICAN NATIONAL UNION,Male
EDWARD MISOKA MABEYA,KISII,1316,MASIGE EAST,PARTY OF INDEPENDENT CANDIDATES OF KENYA,Male
EDWARD OTSYULA WESONGA,BUNGOMA,1116,NAITIRI KABUYEFWE,INDEPENDENT,Male
EDWIN Kipkemoi Korir,BOMET,967,CHEMAGEL,KENYA AFRICAN NATIONAL UNION,Male
EDWIN MOSES LEROSION,ISIOLO,247,OLDO NYIRO,INDEPENDENT,Male
EDWIN OCHIENG OMONDI,MIGORI,1279,CENTRAL KANYAMKAGO,INDEPENDENT,Male
EDWIN WANYAMA WANYONYI,BUNGOMA,1102,MARAKARU TUUTI,AMANI NATIONAL CONGRESS,Male
EGAL AMOS AMODHING,LAIKIPIA,823,SEGERA,NATIONAL RAINBOW COALITION- KENYA,Male
EGESA STEPHEN MAYUNGA,BUSIA,1139,MATAYOS SOUTH,KENYA AFRICAN NATIONAL UNION,Male
EGESSA SIRILA AKONG'O,BUSIA,1137,BUKHAYO WEST,JUBILEE PARTY,Male
EJAKAIT STEPHEN EKAPOLON,BUSIA,1129,CHAKOL NORTH,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EJOI EZRA,BUNGOMA,1081,ELGON,CITIZENS CONVENTION PARTY,Male
EJUMATA PIUS OTORI FESTUS,BUNGOMA,1093,KIMAETI,KENYA AFRICAN NATIONAL UNION,Male
EKAAL NAKUWA JACOB,TURKANA,615,KIBISH,ORANGE DEMOCRATIC MOVEMENT,Male
EKABTEN MOSES OMUSE,BUSIA,1130,AMUKURA WEST,INDEPENDENT,Male
EKADELI JACKSON EWAT,TURKANA,640,LOKORI KOCHODIN,JUBILEE PARTY,Male
EKAI JOHN LOPULO,ISIOLO,245,NGARE MARA,MAENDELEO CHAP CHAP PARTY,Male
EKAI LORON SIMON,TURKANA,619,LETEA,KENYA AFRICAN NATIONAL UNION,Male
EKAL MALAN OME,ISIOLO,245,NGARE MARA,KENYA AFRICAN NATIONAL UNION,Male
EKALALE NKWEEI,LAIKIPIA,822,SOSIAN,CHAMA CHA MASHINANI,Male
EKALE MARK NAPURDI,MARSABIT,236,LOIYANGALANI,FRONTIER ALLIANCE PARTY,Male
EKARAN DANIEL LOKUYEN,TURKANA,628,KANAMKEMER,THIRDWAY ALLIANCE KENYA,Male
EKARAN JAMES LOOLEL LOWOYAROT,TURKANA,617,KAKUMA,JUBILEE PARTY,Male
EKASIBA JOSPHAT OMUNYIN,MOMBASA,5,CHAANI,VIBRANT DEMOCRATIC PARTY,Male
EKASIBA SUSAN AMASA,BUSIA,1128,CHAKOL SOUTH,AMANI NATIONAL CONGRESS,Female
EKATOROT MARGRET KAALENG,TURKANA,613,LAPUR,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
EKESA MILTON KASSAMAN,BUSIA,1136,BUKHAYO CENTRAL,ORANGE DEMOCRATIC MOVEMENT,Male
EKESA WILBERFORCE OSOGOL,BUSIA,1131,AMUKURA EAST,UNITED DEMOCRATIC PARTY,Male
EKHUYA ABRAHAM MARK,VIHIGA,1074,CENTRAL BUNYORE,INDEPENDENT,Male
EKHUYA JENIPHER KHASAYI,VIHIGA,1074,CENTRAL BUNYORE,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
EKIDOR ERUPE L,SAMBURU,667,NACHOLA,CHAMA CHA MASHINANI,Male
EKIDOR EUNICE ATEYO,TURKANA,613,LAPUR,WIPER DEMOCRATIC MOVEMENT- KENYA,Female
EKIDOR JAMES KAITUKO,TURKANA,635,LOBOKAT,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
EKIPOR LOBWIN VINCENT,TURKANA,622,LOKICHOGGIO,ORANGE DEMOCRATIC MOVEMENT,Male
EKIRU NANGOLEKENG SIMON,TURKANA,613,LAPUR,CHAMA CHA MASHINANI,Male
EKISA PETER OTABONG,BUSIA,1122,MALABA NORTH,THE LABOUR PARTY OF KENYA,Male
EKITELA JOSEPH NYANGA,TURKANA,621,KALOBEYEI,JUBILEE PARTY,Male
EKODI OSIKOL DANIEL,BUSIA,1130,AMUKURA WEST,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
EKOLAN CHETAMBE MAURICE,BUSIA,1124,ANG'URAI NORTH,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EKOMBE DAVID KOKONYA,BUSIA,1126,MALABA SOUTH,ORANGE DEMOCRATIC MOVEMENT,Male
EKUWAM PHILIP LOMORIA,TURKANA,623,NANAAM,JUBILEE PARTY,Male
EKUWOM EMMANUEL ABENYO,TURKANA,627,LODWAR TOWNSHIP,MAENDELEO CHAP CHAP PARTY,Male
EKWANG BETTY ANDENYO,UASIN GISHU,708,NGENYILEL,ORANGE DEMOCRATIC MOVEMENT,Female
ELEGWA HUMPHREY AJEGA,BUSIA,1135,BUKHAYO EAST,JUBILEE PARTY,Male
ELEGWA KELVIN NJIRO MWANGU,VIHIGA,1071,LUANDA SOUTH,AMANI NATIONAL CONGRESS,Male
ELEMA ISSA BONAYA,TANA RIVER,93,MIKINDUNI,PARTY FOR DEVELOPMENT AND REFORM,Male
ELEMA TURA RURU,MARSABIT,231,NORTH HORR,KENYA AFRICAN NATIONAL UNION,Male
ELEMANI JOHN ETIR,LAIKIPIA,822,SOSIAN,KENYA AFRICAN NATIONAL UNION,Male
ELIAS KITHINJI KIRIINYA,MERU,283,KIIRUA NAARI,DEMOCRATIC PARTY OF KENYA,Male
ELIJA JOHN MWAURA,NYANDARUA,458,GATHANJI,PARTY OF NATIONAL UNITY,Male
ELIJAH JOB OBWOGE,KISII,1321,SAMETA MOKWERERO,INDEPENDENT,Male
ELIJAH MONG'ARE NYAMBOKI,KISII,1337,MONYERERO,DEMOCRATIC PARTY OF KENYA,Male
ELIJAH MOSE GIKENYI,NAIROBI CITY,1431,VIWANDANI,CHAMA MWANGAZA DAIMA,Male
ELIJAH OGEGA NYAMBEO,KISII,1327,NYAMASIBI,CHAMA CHA MASHINANI,Male
ELIJAH OMECHI,KISII,1340,KEGOGI,INDEPENDENT,Male
ELIJAH ONUNDA MOMANYI,MACHAKOS,396,MUTHWANI,INDEPENDENT,Male
ELIJAH PAUL SIMIYU,TRANS NZOIA,688,KIMININI,PARTY OF DEMOCRATIC UNITY,Male
ELIM EPUU JOSEPH,TURKANA,619,LETEA,INDEPENDENT,Male
ELIMA EDWARD NALYANYA,BUNGOMA,1097,BUKEMBE EAST,JUBILEE PARTY,Male
ELIMU JOSEPH EPEYION,TRANS NZOIA,680,CHEPCHOINA,ORANGE DEMOCRATIC MOVEMENT,Male
ELISHA AMARA GAYE,VIHIGA,1052,SOUTH MARAGOLI,AMANI NATIONAL CONGRESS,Male
ELISHA BONFACE LIDZANG'A,KAKAMEGA,1042,MURHANDA,AMANI NATIONAL CONGRESS,Male
ELISHA MAKHANU LUNANI,BUNGOMA,1115,MBAKALO,AMANI NATIONAL CONGRESS,Male
ELIUD CHANGEYWO CHEMOSIT,BUNGOMA,1079,KAPKATENY,INDEPENDENT,Male
ELKALO REDENTO LMEDURI,MARSABIT,238,KORR NGURUNIT,MAENDELEO CHAP CHAP PARTY,Male
ELKANA JOHN NAKUTI,VIHIGA,1072,EMABUNGO,JUBILEE PARTY,Male
ELKANA MWESELI MUGODO,KAKAMEGA,1048,IDAKHO EAST,AMANI NATIONAL CONGRESS,Male
ELMI IBRAHIM MOHAMED,WAJIR,178,ADAMASAJIDE,PARTY OF NATIONAL UNITY,Male
ELMI OMAR MOHAMED,WAJIR,163,KORONDILE,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ELMI OMAR MOHAMED,WAJIR,175,WARGADUD,THE LABOUR PARTY OF KENYA,Male
ELMI OSMAN MUHUMED,WAJIR,181,DELLA,JUBILEE PARTY,Male
ELWAK ROBERT OTITI,NAIROBI CITY,1433,MAKONGENI,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EMASET PHILIP MUDAI,BUSIA,1126,MALABA SOUTH,AMANI NATIONAL CONGRESS,Male
EMBALO SHEM MACHAYO,KAKAMEGA,991,MAUTUMA,MAZINGIRA GREENS PARTY OF KENYA,Male
EMEJE DAVID PAPA,BUSIA,1125,ANG'URAI EAST,THE NATIONAL VISION PARTY,Male
EMERI ELIUD IDOKET,TURKANA,633,KAPUTIR,INDEPENDENT,Male
EMISEMBE MURDOCK OWUOR,NAIROBI CITY,1381,KAREN,AMANI NATIONAL CONGRESS,Male
EMMANUEL KERINA ONDUSO,KISII,1304,RIANA,INDEPENDENT,Male
EMMANUEL MAKAZI SAFARI,MOMBASA,6,JOMVU KUU,INDEPENDENT,Male
EMMANUEL NYIKURI CHICHI,BUNGOMA,1116,NAITIRI KABUYEFWE,THE NATIONAL VISION PARTY,Male
EMMANUEL PATTERSON CHARO,KILIFI,53,KIBARANI,INDEPENDENT,Male
EMODO DICK SIMON OMUKAGA,BUSIA,1131,AMUKURA EAST,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EMOI YAKUB HASSAN,MANDERA,197,DERKHALE,ECONOMIC FREEDOM PARTY,Male
EMOJONG PATRICK,BUSIA,1124,ANG'URAI NORTH,MAENDELEO CHAP CHAP PARTY,Male
EMORU MICHAEL BOSCO ELIM,TURKANA,632,LOKIRIAMA LORENGIPPI,CHAMA CHA MASHINANI,Male
EMURIA JOSEPHAT EKENO,TURKANA,626,KALOKOL,ORANGE DEMOCRATIC MOVEMENT,Male
EMURIA PETER EKIRU,TURKANA,617,KAKUMA,ORANGE DEMOCRATIC MOVEMENT,Male
ENARACH EDWIN CLEOPHAS AMONI,BUSIA,1121,MALABA CENTRAL,RESTORE AND BUILD KENYA,Male
ENDOM JACOB EKOELI,LAIKIPIA,822,SOSIAN,PARTY OF NATIONAL UNITY,Male
ENDULAJI PATRICK MAHALE,VIHIGA,1064,BANJA,INDEPENDENT,Male
ENGURA SAMUEL AIMUN,TRANS NZOIA,684,MATISI,THIRDWAY ALLIANCE KENYA,Male
ENOCK AYIEMA ORUCHO,KISII,1306,BOIKANG'A,INDEPENDENT,Male
ENOCK CHERUIYOT NGENO,BOMET,982,NDARAWETA,CHAMA CHA MASHINANI,Male
ENOCK KIPKIRUI BII,BOMET,969,KAPLETUNDO,INDEPENDENT,Male
ENOCK MAKWAE OMANDI,NYAMIRA,1359,BOKEIRA,INDEPENDENT,Male
EPAALAT FRANCIS ODUONYI,TRANS NZOIA,690,SIRENDE,ORANGE DEMOCRATIC MOVEMENT,Male
EPAYA TONNY EYANAE,TURKANA,629,KOTARUK LOBEI,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
EPHRAIM NGANGA MBUGUA,NAIROBI CITY,1369,KANGEMI,INDEPENDENT,Male
EPRONG OPOLO SIMON SAM,BUSIA,1130,AMUKURA WEST,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
EPURET EDWARD OLUKU,BUSIA,1122,MALABA NORTH,JUBILEE PARTY,Male
ERAHARWA BOGE BRAMWEL,NAIROBI CITY,1386,LAINI SABA,UNITED DEMOCRATIC PARTY,Male
ERASTO NICHOLAS MUKALA,NAIROBI CITY,1373,GATINA,INDEPENDENT,Male
ERASTON RUTOH,BOMET,983,SINGORWET,THE NATIONAL VISION PARTY,Male
ERASTUS MATHEW IRERI,KIRINYAGA,507,NGARIAMA,INDEPENDENT,Male
EREGAE JOSEPH EWOI,TURKANA,638,KAPEDO NAPEITOM,JUBILEE PARTY,Male
EREGAE KENNEDY IKACHO,TURKANA,637,LOKICHAR,ORANGE DEMOCRATIC MOVEMENT,Male
EREMON GABRIEL EKUWAM,TURKANA,611,KAERIS,JUBILEE PARTY,Male
ERENG SAMWEL NJORAMO,TRANS NZOIA,700,SITATUNGA,THIRDWAY ALLIANCE KENYA,Male
ERIC KIPKIRUI BETT,KERICHO,947,KIPCHEBOR,JUBILEE PARTY,Male
ERIC OIRERE MOOGI,NAIROBI CITY,1374,KILELESHWA,UNITED DEMOCRATIC PARTY,Male
ERICK KOSKEI KIMUTAI,BOMET,969,KAPLETUNDO,INDEPENDENT,Male
ERICK MOGAKA NYAMASEGE,KISII,1330,KIAMOKAMA,NATIONAL AGENDA PARTY OF KENYA,Male
ERICK OMUGA OUMA,HOMA BAY,1245,KWABWAI,JUBILEE PARTY,Male
ERIMBA SIMION MUTUNGA,MERU,264,NAATHU,PARTY OF DEMOCRATIC UNITY,Male
ERINGO FRANCIS JOSEPH MWONGELA,MERU,268,KIANJAI,INDEPENDENT,Male
ERNEST LUDENYI KISAME,NANDI,769,KIPTUYA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ERNEST RONO KIBET,BOMET,966,NDANAI ABOSI,MAENDELEO CHAP CHAP PARTY,Male
ERUKUDI ERASTUS EYANAE,TURKANA,633,KAPUTIR,JUBILEE PARTY,Male
ERUPE ABDUL RAHAMAN NGELECHA,TURKANA,616,NAKALALE,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ERUPE JOHN ESINYEN,TURKANA,625,KANG'ATOTHA,JUBILEE PARTY,Male
ESABWA MAURICE UVWAMU,VIHIGA,1057,CHAVAKALI,AMANI NATIONAL CONGRESS,Male
ESANGALO NANCY ENGOKE,VIHIGA,1064,BANJA,PROGRESSIVE PARTY OF KENYA,Female
ESEBWE GEOFREY,NANDI,769,KIPTUYA,SAFINA,Male
ESHITEMI EVANSON MASHETI,KAKAMEGA,1049,IDAKHO NORTH,THE NATIONAL VISION PARTY,Male
ESHO KOINET OLE,NAROK,898,ILDAMAT,INDEPENDENT,Male
ESHUCHI JANE NAICAR,KAKAMEGA,1037,KISA NORTH,AMANI NATIONAL CONGRESS,Male
ESOKON LOCHIMIDI J,LAIKIPIA,822,SOSIAN,JUBILEE PARTY,Male
ETHAIBA JOHN KITHINJI,MERU,269,NKOMO,PARTY OF NATIONAL UNITY,Male
ETINDI GAIUS,KAKAMEGA,1040,KISA CENTRAL,AMANI NATIONAL CONGRESS,Male
ETIRIKIA STEPHEN NTURIBI,MERU,267,AKITHII,PARTY OF NATIONAL UNITY,Male
ETOLE JOSHUA OKINDA,VIHIGA,1075,WEST BUNYORE,MAENDELEO DEMOCRATIC PARTY,Male
ETYANG BENARD EMUKULE,BUSIA,1125,ANG'URAI EAST,INDEPENDENT,Male
ETYANG JULIUS OTIENGI,BUSIA,1129,CHAKOL NORTH,ORANGE DEMOCRATIC MOVEMENT,Male
EVANS CHERUIYOT,KERICHO,963,KAPLELARTET,MAENDELEO CHAP CHAP PARTY,Male
EVANS EKAI A,TURKANA,618,LOPUR,ORANGE DEMOCRATIC MOVEMENT,Male
EVANS KILAHA CHUNGULI,VIHIGA,1053,CENTRAL MARAGOLI,AMANI NATIONAL CONGRESS,Male
EVANS OTISO,NAIROBI CITY,1408,KWA REUBEN,ORANGE DEMOCRATIC MOVEMENT,Male
EVANS OYAGI MOI,KISII,1306,BOIKANG'A,CHAMA CHA MASHINANI,Male
EVAYO ROBERT AFWOYO,NANDI,757,KEMELOI-MARABA,INDEPENDENT,Male
EVUSA PAMELA IMALI,VIHIGA,1057,CHAVAKALI,ORANGE DEMOCRATIC MOVEMENT,Female
EVUSA PETER NDENGA,KAKAMEGA,993,LUMAKANDA,INDEPENDENT,Male
EWOI MARY LOMOJO,TURKANA,617,KAKUMA,KENYA AFRICAN NATIONAL UNION,Female
EWOTON EMURIA,SAMBURU,669,NYIRO,AMANI NATIONAL CONGRESS,Male
EWOTON LOROT NICHOLAS,ISIOLO,246,BURAT,THIRDWAY ALLIANCE KENYA,Male
EYAHONGA ESHIKHATI K ISAIAH,NAIROBI CITY,1427,UMOJA II,INDEPENDENT,Male
EYANGAN MARGARET EKAL,TURKANA,637,LOKICHAR,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
EYARAN JOSEPH TIOKO,TURKANA,619,LETEA,JUBILEE PARTY,Male
FAN NYAMBASORA M'MALTSI WILFRED,KISII,1320,BOBASI CHACHE,SOCIAL DEMOCRATIC PARTY OF KENYA,Male
FARAH JIBRIL MAHAMUD,TANA RIVER,98,BANGALE,KENYA AFRICAN NATIONAL UNION,Male
FARAH MOHAMED ABDI,GARISSA,147,DADAAB,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
FAYISA GARAMO ZALAQA,MARSABIT,235,MARSABIT CENTRAL,INDEPENDENT,Male
FAYO ISACK ABDUBA,ISIOLO,249,KINNA,JUBILEE PARTY,Male
FAYO MAHAMUD YUSUF,TANA RIVER,92,KINAKOMBA,NATIONAL AGENDA PARTY OF KENYA,Male
FEDHA TITUS,KAKAMEGA,996,LWANDETI,JUBILEE PARTY,Male
FESTUS CLETUYIA KURUAI SAMWEL,SAMBURU,672,WASO,INDEPENDENT,Male
FIDELIS BENARD OMARE,NAIROBI CITY,1408,KWA REUBEN,INDEPENDENT,Male
FINLAY ANYOTA KEGWAH,NYAMIRA,1361,EKERENYO,SOCIAL DEMOCRATIC PARTY OF KENYA,Male
FLORENCE ASHEPET,BUSIA,1121,MALABA CENTRAL,FEDERAL PARTY OF KENYA,Female
FOLONJA JERRY KIMARO,TAITA TAVETA,112,MAHOO,AMANI NATIONAL CONGRESS,Male
FONDO ELIAS FURAHA CHARO,MOMBASA,5,CHAANI,UNITED DEMOCRATIC PARTY,Male
FONDO FONDO CHARO,KILIFI,73,JARIBUNI,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
FONDO JONATHAN BIRYA,KILIFI,65,KALOLENI,ORANGE DEMOCRATIC MOVEMENT,Male
FONDO THEOPHILUS KALAMA,KILIFI,84,GARASHI,AMANI NATIONAL CONGRESS,Male
FRANCIS ACHUKA ECHAKAN,TURKANA,639,KATILIA,MAENDELEO CHAP CHAP PARTY,Male
FRANCIS ANTHONY CHIBWARA,KWALE,44,NDAVAYA,THE LABOUR PARTY OF KENYA,Male
FRANCIS CHRISTOPHER KATUMO,NAIROBI CITY,1410,KWARE,JUBILEE PARTY,Male
FRANCIS DOUGLAS NYAGA,THARAKA - NITHI,300,CHOGORIA,KENYA AFRICAN NATIONAL UNION,Male
FRANCIS FELIX NTWIGAH,THARAKA - NITHI,301,MARIANI,JUBILEE PARTY,Male
FRANCIS LUCY CHELANG'AT,WEST POKOT,642,KAPENGURIA,THE NATIONAL VISION PARTY,Female
FRANCIS MBURU KARANJA,KIAMBU,602,LIMURU CENTRAL,PEOPLES PARTY OF KENYA,Male
